rollNo,studentName,gender,dob,bloodGroup,aadharNo,emisNo,religion,community,casteName,nationality,studentPhoto,educationType,academicType,isLateralEntry,departmentName,degreeProgram,yearStudying,currentSemesterNumber,section,batch,currentAcademicYear,selfMobileNo,selfEmail,officialEmail,fatherName,fatherMobile,fatherWorkType,fatherQualification,motherName,motherMobile,motherWorkType,motherQualification,guardianName,guardianMobile,familyIncomeAsPerCertificate,communityCertificateNo,permDoorNo,permStreet,permTaluk,permDistrict,permState,permPincode,commDoorNo,commStreet,commTaluk,commDistrict,commState,commPincode,quota,firstGraduateApplicable,firstGraduateLab,firstGraduateBook,firstGraduateErp,firstGraduateExam,firstGraduateTransport,firstGraduateHostel,firstGraduateTuition,scheme7point5Applicable,scheme7point5Lab,scheme7point5Book,scheme7point5Erp,scheme7point5Exam,scheme7point5Transport,scheme7point5Hostel,scheme7point5Tuition,pmssApplicable,pmssLab,pmssBook,pmssErp,pmssExam,pmssTransport,pmssHostel,pmssTuition,sakthiApplicable,sakthiLab,sakthiBook,sakthiErp,sakthiExam,sakthiTransport,sakthiHostel,sakthiTuition,specialApplicable,specialLab,specialBook,specialErp,specialExam,specialTransport,specialHostel,specialTuition,transportApplicable,transportRoute,transportStop,hostelApplicable,hostelBlock,hostelSharing,hostelAttached
23ME101,Student 1,Male,15-05-2005,AB-,123412341001,EMIS1001,Hindu,BC,Gounder,Indian,student1.jpg,UG,REG,FALSE,MECH,BE,3,6,A,2023-2027,2025-2026,9876541001,student1@gmail.com,student1@sece.ac.in,Father 1,9876551001,Farmer,10th,Mother 1,9876561001,Homemaker,12th,,,120000,CC1001,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
25IT102,Student 2,Male,15-05-2005,AB-,123412341002,EMIS1002,Hindu,BC,Gounder,Indian,student2.jpg,UG,REG,FALSE,IT,BE,1,1,A,2025-2029,2025-2026,9876541002,student2@gmail.com,student2@sece.ac.in,Father 2,9876551002,Farmer,10th,Mother 2,9876561002,Homemaker,12th,,,120000,CC1002,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22IT103,Student 3,Female,15-05-2005,O-,123412341003,EMIS1003,Hindu,BC,Gounder,Indian,student3.jpg,UG,REG,FALSE,IT,BE,4,7,A,2022-2026,2025-2026,9876541003,student3@gmail.com,student3@sece.ac.in,Father 3,9876551003,Farmer,10th,Mother 3,9876561003,Homemaker,12th,,,120000,CC1003,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
25ME104,Student 4,Male,15-05-2005,AB-,123412341004,EMIS1004,Hindu,BC,Gounder,Indian,student4.jpg,UG,REG,FALSE,MECH,BE,1,2,A,2025-2029,2025-2026,9876541004,student4@gmail.com,student4@sece.ac.in,Father 4,9876551004,Farmer,10th,Mother 4,9876561004,Homemaker,12th,,,120000,CC1004,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
25CS105,Student 5,Female,15-05-2005,AB+,123412341005,EMIS1005,Hindu,BC,Gounder,Indian,student5.jpg,UG,REG,FALSE,CSE,BE,1,2,A,2025-2029,2025-2026,9876541005,student5@gmail.com,student5@sece.ac.in,Father 5,9876551005,Farmer,10th,Mother 5,9876561005,Homemaker,12th,,,120000,CC1005,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
23IT106,Student 6,Male,15-05-2005,O-,123412341006,EMIS1006,Hindu,BC,Gounder,Indian,student6.jpg,UG,REG,FALSE,IT,BE,3,6,A,2023-2027,2025-2026,9876541006,student6@gmail.com,student6@sece.ac.in,Father 6,9876551006,Farmer,10th,Mother 6,9876561006,Homemaker,12th,,,120000,CC1006,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22ME107,Student 7,Male,15-05-2005,A-,123412341007,EMIS1007,Hindu,BC,Gounder,Indian,student7.jpg,UG,REG,FALSE,MECH,BE,4,8,A,2022-2026,2025-2026,9876541007,student7@gmail.com,student7@sece.ac.in,Father 7,9876551007,Farmer,10th,Mother 7,9876561007,Homemaker,12th,,,120000,CC1007,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22ME108,Student 8,Female,15-05-2005,AB+,123412341008,EMIS1008,Hindu,BC,Gounder,Indian,student8.jpg,UG,REG,FALSE,MECH,BE,4,7,A,2022-2026,2025-2026,9876541008,student8@gmail.com,student8@sece.ac.in,Father 8,9876551008,Farmer,10th,Mother 8,9876561008,Homemaker,12th,,,120000,CC1008,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
23CS109,Student 9,Female,15-05-2005,AB+,123412341009,EMIS1009,Hindu,BC,Gounder,Indian,student9.jpg,UG,REG,FALSE,CSE,BE,3,6,A,2023-2027,2025-2026,9876541009,student9@gmail.com,student9@sece.ac.in,Father 9,9876551009,Farmer,10th,Mother 9,9876561009,Homemaker,12th,,,120000,CC1009,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22IT110,Student 10,Female,15-05-2005,O-,123412341010,EMIS1010,Hindu,BC,Gounder,Indian,student10.jpg,UG,REG,FALSE,IT,BE,4,8,A,2022-2026,2025-2026,9876541010,student10@gmail.com,student10@sece.ac.in,Father 10,9876551010,Farmer,10th,Mother 10,9876561010,Homemaker,12th,,,120000,CC1010,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
23CS111,Student 11,Male,15-05-2005,A-,123412341011,EMIS1011,Hindu,BC,Gounder,Indian,student11.jpg,UG,REG,FALSE,CSE,BE,3,5,A,2023-2027,2025-2026,9876541011,student11@gmail.com,student11@sece.ac.in,Father 11,9876551011,Farmer,10th,Mother 11,9876561011,Homemaker,12th,,,120000,CC1011,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
24ME112,Student 12,Male,15-05-2005,B-,123412341012,EMIS1012,Hindu,BC,Gounder,Indian,student12.jpg,UG,REG,FALSE,MECH,BE,2,3,A,2024-2028,2025-2026,9876541012,student12@gmail.com,student12@sece.ac.in,Father 12,9876551012,Farmer,10th,Mother 12,9876561012,Homemaker,12th,,,120000,CC1012,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
25ME113,Student 13,Female,15-05-2005,AB+,123412341013,EMIS1013,Hindu,BC,Gounder,Indian,student13.jpg,UG,REG,FALSE,MECH,BE,1,2,A,2025-2029,2025-2026,9876541013,student13@gmail.com,student13@sece.ac.in,Father 13,9876551013,Farmer,10th,Mother 13,9876561013,Homemaker,12th,,,120000,CC1013,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
24IT114,Student 14,Male,15-05-2005,O+,123412341014,EMIS1014,Hindu,BC,Gounder,Indian,student14.jpg,UG,REG,FALSE,IT,BE,2,3,A,2024-2028,2025-2026,9876541014,student14@gmail.com,student14@sece.ac.in,Father 14,9876551014,Farmer,10th,Mother 14,9876561014,Homemaker,12th,,,120000,CC1014,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
24CS115,Student 15,Male,15-05-2005,AB-,123412341015,EMIS1015,Hindu,BC,Gounder,Indian,student15.jpg,UG,REG,FALSE,CSE,BE,2,3,A,2024-2028,2025-2026,9876541015,student15@gmail.com,student15@sece.ac.in,Father 15,9876551015,Farmer,10th,Mother 15,9876561015,Homemaker,12th,,,120000,CC1015,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
24CS116,Student 16,Male,15-05-2005,A-,123412341016,EMIS1016,Hindu,BC,Gounder,Indian,student16.jpg,UG,REG,FALSE,CSE,BE,2,4,A,2024-2028,2025-2026,9876541016,student16@gmail.com,student16@sece.ac.in,Father 16,9876551016,Farmer,10th,Mother 16,9876561016,Homemaker,12th,,,120000,CC1016,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
24CS117,Student 17,Female,15-05-2005,O-,123412341017,EMIS1017,Hindu,BC,Gounder,Indian,student17.jpg,UG,REG,FALSE,CSE,BE,2,3,A,2024-2028,2025-2026,9876541017,student17@gmail.com,student17@sece.ac.in,Father 17,9876551017,Farmer,10th,Mother 17,9876561017,Homemaker,12th,,,120000,CC1017,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
23IT118,Student 18,Female,15-05-2005,AB-,123412341018,EMIS1018,Hindu,BC,Gounder,Indian,student18.jpg,UG,REG,FALSE,IT,BE,3,6,A,2023-2027,2025-2026,9876541018,student18@gmail.com,student18@sece.ac.in,Father 18,9876551018,Farmer,10th,Mother 18,9876561018,Homemaker,12th,,,120000,CC1018,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
23ME119,Student 19,Female,15-05-2005,O+,123412341019,EMIS1019,Hindu,BC,Gounder,Indian,student19.jpg,UG,REG,FALSE,MECH,BE,3,6,A,2023-2027,2025-2026,9876541019,student19@gmail.com,student19@sece.ac.in,Father 19,9876551019,Farmer,10th,Mother 19,9876561019,Homemaker,12th,,,120000,CC1019,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22IT120,Student 20,Male,15-05-2005,A+,123412341020,EMIS1020,Hindu,BC,Gounder,Indian,student20.jpg,UG,REG,FALSE,IT,BE,4,7,A,2022-2026,2025-2026,9876541020,student20@gmail.com,student20@sece.ac.in,Father 20,9876551020,Farmer,10th,Mother 20,9876561020,Homemaker,12th,,,120000,CC1020,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
22IT121,Student 21,Female,15-05-2005,AB+,123412341021,EMIS1021,Hindu,BC,Gounder,Indian,student21.jpg,UG,REG,FALSE,IT,BE,4,7,A,2022-2026,2025-2026,9876541021,student21@gmail.com,student21@sece.ac.in,Father 21,9876551021,Farmer,10th,Mother 21,9876561021,Homemaker,12th,,,120000,CC1021,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,12,Gandhi St,Gobi,Erode,Tamil Nadu,638452,Government Quota,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,
